"ARREST_KEY","ARREST_DATE","PD_CD","PD_DESC","KY_CD","OFNS_DESC","LAW_CODE","LAW_CAT_CD","ARREST_BORO","ARREST_PRECINCT","JURISDICTION_CODE","AGE_GROUP","PERP_SEX","PERP_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"89844560","03/28/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","45-64","F","BLACK HISPANIC","1014230.0","236561.0","40.815938383","-73.891691615","POINT (-73.89169161499996 40.81593838300005)"
"89850037","03/28/2013","616","LOITERING,TRANSPORTATION FACILITY","672","LOITERING","PL 2403506","V","M","30","0","<18","M","BLACK","999961.0","242122.0","40.83123865","-73.94322871","POINT (-73.94322870999997 40.831238650000046)"
"89827959","03/27/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","75","0","25-44","F","BLACK","1012360.0","183931.0","40.671488437","-73.898667373","POINT (-73.89866737299997 40.67148843700004)"
"89809614","03/26/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","83","0","25-44","F","BLACK","1007685.0","189129.0","40.685769376","-73.915502249","POINT (-73.91550224899999 40.685769376000046)"
"89772950","03/24/2013","616","LOITERING,TRANSPORTATION FACILITY","672","LOITERING","PL 2403506","V","K","76","0","45-64","M","BLACK","986772.0","186328.0","40.67811193","-73.990908956","POINT (-73.99090895599994 40.67811193000005)"
"89772910","03/24/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","K","75","0","18-24","F","BLACK","1014851.0","178248.0","40.65588161","-73.889713338","POINT (-73.88971333799998 40.655881610000044)"
"89763941","03/23/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","52","0","<18","M","BLACK","1011747.0","254925.0","40.866350259","-73.90058674","POINT (-73.90058673999994 40.86635025900005)"
"89764566","03/23/2013","604","LOITERING 1ST DEGREE FOR DRUG PURPOSES","360","LOITERING FOR DRUG PURPOSES","PL 2403600","M","M","30","0","45-64","M","BLACK HISPANIC","996981.0","238664.0","40.821752222","-73.954003697","POINT (-73.95400369699998 40.82175222200004)"
"89763932","03/23/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","52","0","<18","M","BLACK HISPANIC","1011964.0","254800.0","40.866006494","-73.8998027","POINT (-73.89980269999995 40.86600649400003)"
"89764569","03/23/2013","604","LOITERING 1ST DEGREE FOR DRUG PURPOSES","360","LOITERING FOR DRUG PURPOSES","PL 2403600","M","M","30","0","45-64","M","BLACK HISPANIC","996981.0","238664.0","40.821752222","-73.954003697","POINT (-73.95400369699998 40.82175222200004)"
"89764421","03/22/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","14","0","18-24","F","WHITE","988394.0","211711.0","40.747781613","-73.98504559","POINT (-73.98504558999997 40.74778161300003)"
"89736152","03/21/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","73","0","25-44","F","BLACK","1011083.0","183679.0","40.670800717","-73.903271844","POINT (-73.90327184399997 40.67080071700008)"
"89645216","03/16/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","73","0","25-44","F","BLACK","1010737.0","184091.0","40.671932606","-73.90451751","POINT (-73.90451750999993 40.671932606000034)"
"89651356","03/16/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","52","0","<18","M","BLACK HISPANIC","1011372.0","254273.0","40.864561878","-73.901945181","POINT (-73.90194518099996 40.86456187800008)"
"89651906","03/16/2013","604","LOITERING 1ST DEGREE FOR DRUG PURPOSES","360","LOITERING FOR DRUG PURPOSES","PL 2403600","M","M","30","0","45-64","M","UNKNOWN","997571.0","238489.0","40.821271027","-73.951872345","POINT (-73.95187234499997 40.82127102700008)"
"89651918","03/16/2013","604","LOITERING 1ST DEGREE FOR DRUG PURPOSES","360","LOITERING FOR DRUG PURPOSES","PL 2403600","M","M","30","0","45-64","M","WHITE HISPANIC","996981.0","238664.0","40.821752222","-73.954003697","POINT (-73.95400369699998 40.82175222200004)"
"89639640","03/15/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","25-44","M","BLACK","1014347.0","235987.0","40.814362516","-73.891271499","POINT (-73.89127149899997 40.81436251600008)"
"89640796","03/15/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","S","122","0","25-44","F","BLACK","961627.0","157184.0","40.598089344","-74.081465703","POINT (-74.08146570299994 40.59808934400007)"
"89640236","03/15/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","25-44","F","WHITE","991654.0","214433.0","40.755250688","-73.973277125","POINT (-73.97327712499998 40.75525068800005)"
"89621365","03/14/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","25-44","F","WHITE","988955.0","217272.0","40.763044865","-73.983017028","POINT (-73.98301702799995 40.76304486500004)"
"89546587","03/10/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","Q","108","0","18-24","M","WHITE HISPANIC","1012941.0","211446.0","40.747008686","-73.896455677","POINT (-73.89645567699995 40.74700868600007)"
"89537659","03/09/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","75","0","25-44","F","BLACK","1015572.0","178302.0","40.656027308","-73.887114557","POINT (-73.88711455699998 40.65602730800003)"
"89507377","03/07/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","Q","115","0","18-24","F","BLACK","1016155.0","211645.0","40.747543879","-73.884855425","POINT (-73.88485542499996 40.74754387900003)"
"89507378","03/07/2013","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","Q","115","0","<18","M","WHITE HISPANIC","1016155.0","211645.0","40.747543879","-73.884855425","POINT (-73.88485542499996 40.74754387900003)"
